"","date","country","credit","gdp","inf","stock","yield","global_factor","fin_factor","iv1","iv2","q","year","NFCI","EPU","USRECD","USUN"
"4259",2004-10-01,"Honduras",0.420737932950951,NA,141.722366333008,NA,NA,-2.04871264566707,0.676132357307028,1.07070807143169,-3.78887437392988,"4","2004",-0.729603571428571,92.8441340128581,0,0.777546913686931
"4260",2005-01-01,"Honduras",0.416339120088825,NA,145.151397705078,NA,NA,-2.41330083528892,0.436227313236622,1.39826136377132,0.261826063172967,"1","2005",-0.724745,63.4754956563314,0,0.762769043901079
"4261",2005-04-01,"Honduras",0.418731454665213,NA,148.517501831055,NA,NA,-0.353729993942255,-0.679406215113636,1.918099373768,-0.533332641335355,"2","2005",-0.660575384615385,73.211804707845,0,0.756079612992665
"4262",2005-07-01,"Honduras",0.430616475931346,NA,151.726303100586,NA,NA,-3.85140366438011,-0.365998150783081,0.85698623604692,-2.11166874114957,"3","2005",-0.640457142857143,74.8394546508789,0,0.724174809056824
"4263",2005-10-01,"Honduras",0.456699618191507,NA,153.01611328125,NA,NA,-2.32005402608863,-1.51268790237262,1.53310608446721,-2.0764397810798,"4","2005",-0.622723076923077,75.476198832194,0,0.719409490941654
"4264",2006-01-01,"Honduras",0.472790508170909,NA,154.935119628906,NA,NA,-5.19002875227366,-1.36291020857124,2.32785639110295,3.65665491892361,"1","2006",-0.64681,72.0325571695964,0,0.707856850336369
"4265",2006-04-01,"Honduras",0.490843219225004,NA,157.23161315918,NA,NA,-1.83822940018529,-1.74098349314048,-0.0974808837923147,-1.61536023989028,"2","2006",-0.648633846153846,76.6973724365234,0,0.687044835216514
"4266",2006-07-01,"Honduras",0.516660957695565,NA,159.119140625,NA,NA,1.58164237116807,-1.01168722391239,-0.985763054254584,1.48157364077642,"3","2006",-0.625260769230769,73.4666035970052,0,0.657706334862541
"4267",2006-10-01,"Honduras",0.560738603181539,NA,160.503341674805,NA,NA,-4.08905509774156,-0.696702931351582,-0.518195740151486,4.79699040362688,"4","2006",-0.666626923076923,63.1182390848796,0,0.636636475744631
"4268",2007-01-01,"Honduras",0.591594896741153,NA,164.058197021484,NA,NA,-4.2615676814296,-0.94692988112641,-0.863831526374723,-3.06583216144409,"1","2007",-0.698535384615385,68.7031936645508,0,0.63921096503753
"4269",2007-04-01,"Honduras",0.617291600804395,NA,166.952407836914,NA,NA,-3.71768683207105,-1.08927866767166,-1.01341092485338,-3.44636488953638,"2","2007",-0.628239230769231,70.160036722819,0,0.701033065902208
"4270",2007-07-01,"Honduras",0.658025885988842,NA,169.783721923828,NA,NA,2.437609109754,-1.50998876494221,-3.43439309733961,1.26655723018037,"3","2007",-0.0906469230769231,83.0574684143066,0,0.779209780325564
"4271",2007-10-01,"Honduras",0.683146827181304,NA,174.817138671875,NA,NA,1.24000330817284,-0.328287438252187,-3.35965702488239,-3.91438418287891,"4","2007",0.256267692307692,100.146479288737,0,0.875096579474675
