"","h","country","Inv_GDP","Credit_to_GDP","Chinn_Ito","Quantile","Value"
"2",0,"Argentina",3.51331600425493,16.4448787493186,-0.527378163337707,"q=0.05",-0.0844133120830113
"3",0,"Argentina",3.51331600425493,16.4448787493186,-0.527378163337707,"q=0.25",-0.0966624539430497
"4",0,"Argentina",3.51331600425493,16.4448787493186,-0.527378163337707,"q=0.50",0.181301087500368
"5",0,"Argentina",3.51331600425493,16.4448787493186,-0.527378163337707,"q=0.75",0.121144706474355
"6",0,"Argentina",3.51331600425493,16.4448787493186,-0.527378163337707,"q=0.95",0.544476324846905
"7",0,"Australia",8.81515119143869,65.1036850722477,1.13788653984666,"q=0.05",0.185081711036724
"8",0,"Australia",8.81515119143869,65.1036850722477,1.13788653984666,"q=0.25",-0.0809506929178583
"9",0,"Australia",8.81515119143869,65.1036850722477,1.13788653984666,"q=0.50",0.207125233406582
"10",0,"Australia",8.81515119143869,65.1036850722477,1.13788653984666,"q=0.75",0.32047393340859
"11",0,"Australia",8.81515119143869,65.1036850722477,1.13788653984666,"q=0.95",0.288332204949936
"12",0,"Austria",2.06974919313617,90.2433729061583,1.66227964580059,"q=0.05",0.151470904811897
"13",0,"Austria",2.06974919313617,90.2433729061583,1.66227964580059,"q=0.25",0.111389003784619
"14",0,"Austria",2.06974919313617,90.2433729061583,1.66227964580059,"q=0.50",0.112456584114678
"15",0,"Austria",2.06974919313617,90.2433729061583,1.66227964580059,"q=0.75",0.112801969511334
"16",0,"Austria",2.06974919313617,90.2433729061583,1.66227964580059,"q=0.95",0.0710589620813418
"17",0,"Belgium",8.93871282875558,61.953027983649,1.64498655259609,"q=0.05",-0.122850939343571
"18",0,"Belgium",8.93871282875558,61.953027983649,1.64498655259609,"q=0.25",0.0192644089213219
"19",0,"Belgium",8.93871282875558,61.953027983649,1.64498655259609,"q=0.50",-0.0553513077244048
"20",0,"Belgium",8.93871282875558,61.953027983649,1.64498655259609,"q=0.75",-0.140763181674926
"21",0,"Belgium",8.93871282875558,61.953027983649,1.64498655259609,"q=0.95",-0.0548250984110413
"22",0,"Bolivia",3.01227421390806,29.1509969373784,0.480277449563146,"q=0.05",-1.03126275157063
"23",0,"Bolivia",3.01227421390806,29.1509969373784,0.480277449563146,"q=0.25",0.0123845849354568
"24",0,"Bolivia",3.01227421390806,29.1509969373784,0.480277449563146,"q=0.50",0.0103184932364803
"25",0,"Bolivia",3.01227421390806,29.1509969373784,0.480277449563146,"q=0.75",0.0897704808792476
"26",0,"Bolivia",3.01227421390806,29.1509969373784,0.480277449563146,"q=0.95",0.583356725516464
"27",0,"Brazil",3.84157657469786,41.0739282230336,-1.29209904551506,"q=0.05",-0.286771546033024
"28",0,"Brazil",3.84157657469786,41.0739282230336,-1.29209904551506,"q=0.25",-0.0467538007828064
"29",0,"Brazil",3.84157657469786,41.0739282230336,-1.29209904551506,"q=0.50",-0.0234872339884275
"30",0,"Brazil",3.84157657469786,41.0739282230336,-1.29209904551506,"q=0.75",-0.0125952821830698
"31",0,"Brazil",3.84157657469786,41.0739282230336,-1.29209904551506,"q=0.95",-0.0982527737689177
"32",0,"Canada",17.6825392209092,64.0394773136986,2.31061291694641,"q=0.05",-0.321634704329424
"33",0,"Canada",17.6825392209092,64.0394773136986,2.31061291694641,"q=0.25",0.248104520371145
"34",0,"Canada",17.6825392209092,64.0394773136986,2.31061291694641,"q=0.50",0.400218300767752
"35",0,"Canada",17.6825392209092,64.0394773136986,2.31061291694641,"q=0.75",0.488037849262973
"36",0,"Canada",17.6825392209092,64.0394773136986,2.31061291694641,"q=0.95",0.8044511793297
"37",0,"Chile",10.0441616064123,44.1415257446896,-0.349940836727619,"q=0.05",-0.758133890876786
"38",0,"Chile",10.0441616064123,44.1415257446896,-0.349940836727619,"q=0.25",-0.106979155494329
"39",0,"Chile",10.0441616064123,44.1415257446896,-0.349940836727619,"q=0.50",0.167869620141226
"40",0,"Chile",10.0441616064123,44.1415257446896,-0.349940836727619,"q=0.75",0.360595539998736
"41",0,"Chile",10.0441616064123,44.1415257446896,-0.349940836727619,"q=0.95",0.628809799340928
"42",0,"Colombia",2.82529961783953,28.2316860151575,-1.18510577708483,"q=0.05",-0.348110819877691
"43",0,"Colombia",2.82529961783953,28.2316860151575,-1.18510577708483,"q=0.25",-0.0438906629966427
"44",0,"Colombia",2.82529961783953,28.2316860151575,-1.18510577708483,"q=0.50",0.0250819010496016
"45",0,"Colombia",2.82529961783953,28.2316860151575,-1.18510577708483,"q=0.75",0.0411013652074485
"46",0,"Colombia",2.82529961783953,28.2316860151575,-1.18510577708483,"q=0.95",0.560799194639294
"47",0,"Costa Rica",6.64381972782611,30.0005302037447,0.22604732170701,"q=0.05",-1.07923675054583
"48",0,"Costa Rica",6.64381972782611,30.0005302037447,0.22604732170701,"q=0.25",-0.493120628207303
"49",0,"Costa Rica",6.64381972782611,30.0005302037447,0.22604732170701,"q=0.50",-0.435440047065707
"50",0,"Costa Rica",6.64381972782611,30.0005302037447,0.22604732170701,"q=0.75",-0.279841948731628
"51",0,"Costa Rica",6.64381972782611,30.0005302037447,0.22604732170701,"q=0.95",-0.084080544332276
"52",0,"Cyprus",5.4690780078508,192.995894541645,-0.158414037227631,"q=0.05",0.284292551924948
"53",0,"Cyprus",5.4690780078508,192.995894541645,-0.158414037227631,"q=0.25",0.0833942392538565
"54",0,"Cyprus",5.4690780078508,192.995894541645,-0.158414037227631,"q=0.50",0.0222046178756642
"55",0,"Cyprus",5.4690780078508,192.995894541645,-0.158414037227631,"q=0.75",0.0151439534659445
