,date,Korea,Australia,Iceland,United Kingdom,Denmark,Spain,Japan,Norway,Canada,Finland,Netherlands,United States,Mexico,Belgium,Germany,Luxembourg,Portugal,Italy,Austria,Ireland,Switzerland,Sweden,France,Greece
51,1985-Q3,1.410528141,7.498760615,0.556353965,1.809998915,0.556353965,4.059192652,3.653994913,0.556353965,-5.567985409,0.556353965,0.556353965,0.366987779,1.183170042,0.556353965,-3.168024063,0.556353965,0.556353965,4.572417581,0.556353965,0.556353965,2.576946447,6.549225678,4.871366051,0.556353965
52,1985-Q4,1.090551091,9.528248787,0.430145565,0.871790245,0.430145565,1.0691599,4.401616535,0.430145565,-5.724920603,0.430145565,0.430145565,0.881313154,0.914768974,0.430145565,-3.697168323,0.430145565,0.430145565,3.784108568,0.430145565,0.430145565,2.30722066,5.655434982,4.779226811,0.430145565
53,1986-Q1,1.715477147,10.90555526,0.676634862,2.543000507,0.676634862,1.0138888,2.564477854,0.676634862,-2.602307666,0.676634862,0.676634862,-2.13375766,1.438965385,0.676634862,-1.483030192,0.676634862,0.676634862,4.696840429,0.676634862,0.676634862,3.938166462,6.318013763,4.670756526,0.676634862
54,1986-Q2,1.701636687,11.70342733,0.671175775,2.292727769,0.671175775,1.948743298,2.519626194,0.671175775,-3.07062024,0.671175775,0.671175775,-0.022358063,1.42735582,0.671175775,0.674993274,0.671175775,0.671175775,3.392483535,0.671175775,0.671175775,3.2782135,5.383970001,2.184765917,0.671175775
55,1986-Q3,2.036247451,12.98515433,0.803156145,1.867336815,0.803156145,2.402989959,3.32748882,0.803156145,-1.863502515,0.803156145,0.803156145,1.250239474,1.708031845,0.803156145,0.259179782,0.803156145,0.803156145,2.6913908,0.803156145,0.803156145,3.957735492,4.879013517,2.049774798,0.803156145
56,1986-Q4,1.657901656,11.36582674,0.653925387,2.413080425,0.653925387,1.537961604,3.516505263,0.653925387,-3.310136723,0.653925387,0.653925387,0.784219983,1.390670285,0.653925387,0.480887938,0.653925387,0.653925387,2.349286327,0.653925387,0.653925387,2.966558955,5.237081659,2.484513248,0.653925387
57,1987-Q1,1.392620744,9.878695881,0.549290759,2.046112291,0.549290759,5.160264048,3.633550471,0.549290759,-9.408777478,0.549290759,0.549290759,-1.305069743,1.168149076,0.549290759,2.107718418,0.549290759,0.549290759,3.020310345,0.549290759,0.549290759,3.033634938,6.096018576,2.771998874,0.549290759
58,1987-Q2,2.327630104,8.314185042,0.918086071,2.468749243,0.918086071,6.868311476,4.900849912,0.918086071,-3.207650491,0.918086071,0.918086071,0.635203403,1.952447547,0.918086071,0.922690432,0.918086071,0.918086071,2.617209151,0.918086071,0.918086071,3.448794927,6.945168426,2.959265304,0.918086071
59,1987-Q3,1.645106622,6.677723415,0.648878648,1.681194668,0.648878648,6.350624423,4.464445639,0.648878648,-3.088678847,0.648878648,0.648878648,-0.667397422,1.379937638,0.648878648,-1.276260798,0.648878648,0.648878648,2.835815713,0.648878648,0.648878648,3.806753955,5.314521612,3.592411644,0.648878648
60,1987-Q4,3.9228088,7.903045863,1.54727167,1.484561697,1.54727167,3.828886268,3.998387358,1.54727167,-0.562185468,1.54727167,1.54727167,16.75262914,3.290504968,1.54727167,5.355532859,1.54727167,1.54727167,2.60814706,1.54727167,1.54727167,2.656641497,5.380834604,4.251025029,1.54727167
61,1988-Q1,2.913127754,9.211242543,1.149023639,3.81397294,1.149023639,1.912106597,3.244153339,1.149023639,-4.169546063,1.149023639,1.149023639,9.867725618,2.443570878,1.149023639,3.195096977,1.149023639,1.149023639,2.705033547,1.149023639,1.149023639,3.394799463,5.748692402,4.110200741,1.149023639
62,1988-Q2,2.022703972,8.532974247,0.797814197,4.314925481,0.797814197,0.40559164,2.658928133,0.797814197,-3.245933249,0.797814197,0.797814197,4.849031175,1.696671392,0.797814197,0.045256562,0.797814197,0.797814197,3.093829519,0.797814197,0.797814197,4.012377937,5.248641305,3.748671837,0.797814197
63,1988-Q3,1.709002589,7.307976252,0.674081105,3.345578929,0.674081105,-0.504308783,3.428654535,0.674081105,-0.648699628,0.674081105,0.674081105,2.651292218,1.433534438,0.674081105,-2.262429362,0.674081105,0.674081105,3.45880978,0.674081105,0.674081105,5.18624572,5.371542212,3.028815863,0.674081105
64,1988-Q4,1.386015114,6.282133755,0.546685304,2.214840396,0.546685304,1.190972815,3.582742494,0.546685304,-3.36323465,0.546685304,0.546685304,0.736026095,1.162608185,0.546685304,-2.114980029,0.546685304,0.546685304,3.599729233,0.546685304,0.546685304,6.871764039,5.168947914,2.796009049,0.546685304
65,1989-Q1,1.40330484,7.107448762,0.553504882,3.556948905,0.553504882,2.565356928,3.359013355,0.553504882,-3.116627245,0.553504882,0.553504882,-1.590175902,1.17711104,0.553504882,-3.712260322,0.553504882,0.553504882,4.034893617,0.553504882,0.553504882,7.7430183,4.866402106,2.332857912,0.553504882
66,1989-Q2,1.871546235,9.647753863,0.73819312,3.711104332,0.73819312,2.005073832,3.231690684,0.73819312,-0.907560671,0.73819312,0.73819312,-1.63207805,1.569878242,0.73819312,-3.726273305,0.73819312,0.73819312,4.104102278,0.73819312,0.73819312,8.902868861,4.675623308,2.061483224,0.73819312
